DATE,ACMY01,ACMY02,ACMY03,ACMY05,ACMY10
1970-10-02,647.6684717,675.4916453,691.5989158,707.5968184999999,721.4366117
1970-10-05,646.9550775,675.7230552,691.7005796,707.0157857,719.9421434999999
1970-10-06,643.2355441000001,670.8689340000001,686.6740444000001,702.1977409,715.5295979
1970-10-07,642.5965821,669.3727619,684.7011657,699.7510532,712.6983569
1970-10-08,644.4985667,674.9997905,689.0762815,700.5601161000001,710.1515085
1970-10-09,640.8657656,672.9726149,687.0976772,698.1526176,707.5907378
1970-10-13,638.6141066,671.9285970999999,686.5842896,698.0727062,707.8609588
1970-10-14,634.1024716,668.6570611,685.4508607,699.8667403,711.6720851
1970-10-15,632.9062741,669.5614177,687.426434,702.832088,715.4123111
1970-10-16,636.1488756,673.4446696,690.3861807000001,704.122941,715.5582508
1970-10-19,640.3505399000001,677.2215935,694.9498907,710.0638632,722.4245483999999
1970-10-20,637.1795591,675.2747936,693.2911306,708.4448231,720.8671368
1970-10-21,636.4453948,675.5862769,693.6767122,708.6006447,720.9085230000001
1970-10-22,633.0295898,675.7922001,695.5587394,711.9145929,725.35457
1970-10-23,627.2333911999999,672.2442946,693.4592984,711.3421599,725.9224478
1970-10-26,629.0045311,673.1116084,693.1401287,709.4682414,722.9660855999999
1970-10-27,627.8832717,670.7178486,689.8692225,705.2518733,718.0795548
1970-10-28,624.5935499,668.7601532,687.2459207,701.2392103,713.4257064999999
1970-10-29,622.6194419,664.4639968,681.4826908,693.9949086,705.2106166
1970-10-30,623.6314644,666.0330387,682.1850305,693.3342633999999,704.0802451000001
1970-11-02,610.8987748,655.1455357,672.9487285,685.9287497,697.6600675
1970-11-04,611.2146306,656.4890966,674.2535052,686.9074617,698.6417583
1970-11-05,598.3725913,644.9307166,664.9726069,680.5594211,693.8273566
1970-11-06,591.4376652,639.2575380000001,660.9157256,678.5595857,693.1343111
1970-11-09,584.0028752000001,630.5454513,651.5483796999999,668.5851298,682.7009234
1970-11-10,587.8488317,636.5094031,656.5349570999999,671.4935106,684.6731074
1970-11-12,583.5140763,633.4908029000001,655.1106832,672.0335951,686.3546511
1970-11-13,569.4728706000001,621.3908817,646.1016849,667.1655559999999,684.2454587999999
1970-11-16,555.3828149,610.1471781,636.5083181,659.2233378000001,677.5809624
1970-11-17,542.504421,596.9066279,626.3357025,654.3290269,677.2877651
1970-11-18,526.0467572,576.2986874000001,608.1942826,643.0045173,675.1166076
1970-11-19,517.7664123999999,563.7833848,594.1874047,628.5803647,661.8186603
1970-11-20,502.59796120000004,541.4153778,569.2966445,603.5333835,640.7062591
1970-11-23,492.6883107,528.0829967,556.0511069,594.7125449,644.4265505999999
1970-11-24,500.94095369999997,541.1932098,571.502852,610.8600157999999,657.0042899
1970-11-25,500.75411269999995,536.934021,565.0149556,602.8806899,649.8810569
1970-11-27,500.475455,537.6842582,566.2751463000001,604.3267033000001,650.6511886000001
1970-11-30,502.4808874,538.5044299,567.0517995,606.7110068,658.0171725
1970-12-01,502.07284100000004,539.4160036,568.225281,606.7778637,654.0651207999999
1970-12-02,501.50652420000006,538.8622379,566.6956829000001,602.3267541,643.3952601999999
1970-12-03,497.61764819999996,529.8232856000001,555.4428947,591.1655131,637.8198168
1970-12-04,496.15373209999996,529.370863,554.4550294999999,587.0229618,625.5084773
1970-12-07,499.2850863,532.8855195,558.2121853,591.0298864,629.6812533
1970-12-08,505.9770472,537.9635964,562.2772818,594.09778,632.179915
1970-12-09,509.0189106,541.9396885,566.9122236,599.5317574999999,638.4116895
1970-12-10,506.78258999999997,540.5698172,565.6151072,597.4219874,633.8315168
1970-12-11,501.5718607,536.7338728,561.7520744,592.092712,624.6198005
1970-12-14,496.70164129999995,534.5595731000001,560.4829521,590.7239052,621.3946751
1970-12-15,497.2624614,537.225476,564.1845217,595.20202,626.0235388
1970-12-16,497.645384,537.155616,563.7187797,594.1714012,624.3085473
1970-12-17,494.6425373,535.5477009,563.2250756000001,595.1778254999999,627.0383246
1970-12-18,491.1623218,537.425253,566.9761721,598.8197423,626.9489929
1970-12-21,497.9442443,546.4586477,576.3876704,607.663176,634.2467437
1970-12-22,504.05139219999995,552.3104418,581.5302779,611.5898889,636.7749886
1970-12-23,504.29942079999995,551.9920735000001,580.5639036,609.9539241,635.1667819
1970-12-24,498.1588667,545.4989071,573.0113768,600.661342,624.1241284
1970-12-28,497.60247719999995,546.0111003,573.8915327,601.772704,625.4658901
